City,Total invoice value
KHARIAR ROAD,256.40999999999997
KIRTI NAGAR,486.09
KOLKATA,2231296.9
KRISHNA COLONY,158817.81
Kachchh,8560.66
Kaimanam,971255.2
Kaithal,26710.96
Kakinada,199.0
Kalaburgi,246.51
Kalady,769.24
Kalamassery,442.01
Kalara,256.41
"Kalina,Santacruz East",40336.47
Kalyan,672276.39
Kalyani,236.61
Kamuthi,470.0
Kancheepuram,256.41
Kangra,528.0
Kanpur,1304.98
Kansari,149541.05
Kanth Road,719.99
Karad,641.99
Karaikkudi,289.01
Karalewadi,97.99
Karimnagar,33984.0
Karnal,6079.04
Karumathampatti,195.0
Kashipur,285.0
Kathmandu,3862947.79
Kathua,384.0
Katihar,485.92
Kendujhar,197.01
Khurja,299.0
Kinnaur,309.0
Kochi,1687122.34
Kodur,197.01
Kohima,770.22
Kolar,1594886.41
Kolhapur,499.0
Kolkata,7861781.28
Kollam,245.0
Kota,1483.01
Kothur,256.41
Kottayam,119.79
Kottivakkam,740145.44
Kozhikode,882.0
Kullu,107567.36
Kumarapalayam,256.41
Kumta,676.11
Kundli Industrial Area,558.0
Kurnool,189.0
LASHKAR MOHALLA,199277.32
LAXMI NAGAR,8440.02
LUCKNOW,706548.09
LUDHIANA,145264.13999999998
Lansdowne,239.0
Leh,71318.7
Lodhika Gidc,375.21
Lokmanya Pan Bazar Sion East,10231.71
London,21875199.94
Lucknow,191244.9
Ludhiana,64322.259999999995
MADANAPALLE,180.0
MADURAI,27071.27
MAHARASHTRA,3656.33
MAHAVEER NAGAR,369.0
MALABAR HILL MUMBAI,195.0
MALAD,295.03
MALAD WEST MUMBAI,345.51
MAMURA,195.0
"MAROL, ANDHERI EAST",507.51
MASJID BUNDER WEST,197.0
MEERUT,763.11
MOGA,26913.6
MOHALI,206.08999999999997
MOHALLA USMANIA,274.56
"MONOHAR PUR , DANKUNI",320.76
MOREGAON,199.0
MUDHALIARPET,548928.09
MUMBAI,4480476.16
MUNDRA,359.99
"MUNNEKOLALA, MARATHAHALLI",227.0
MYSURU,212.35
Machilipatnam,235.0
Madanapalle,235.0
Madhurawada,189.0
Madurai,745.4100000000001
Mahad Midc,190.0
Malad East,159.01
Maldives,710395.46
Manali,265.0
Mandi,289.01
Manendragarh,244.0
Manesar,181400.44
Mangalore,240.57
Mangaluru,618.01
Manjeri,275.01
Mapusa,711.83
Margao,195.0
Mayur Vihar Phase-1,9799.66
Medinipur,163.35000000000002
Meerut,528799.98
Mewat,1492499.13
Mohali,1069876.95
Mohiuddinpur,2531.25
Moradabad,2073.37
Mulund West,301020.22
Mumbai,806926.66
Munich,638357.76
Mussoorie,866.9200000000001
Muzaffarnagar,859268.11
Mysuru,61560.56
NAGPUR,449.0
NALGONDA,195.03
NARODA,1046379.95
NASHIK,11411.25
NAVI MUMBAI,4403.7
NAWANSHAHR,29181.6
NAYA KATLA-RAMPURA,205991.39
NEW DELHI,810379.9
NEW DELHI 110046,178.99
NEW KONDLI,11191.95
NEW TOWN,202.95
NIT Faridabad,329360.18
NOIDA,7686.01
NOIDA SECTOR 168,173.25
"Nagashetty Halli, Hebbal",2187.0
Nagpur,8559663.23
Najibabad,917.0
Nalsarovar,197.01000000000002
Namakkal,199.0
Namburu,256.41
Nandurbar,1450.2
Nandyal,394.0
Narnaul,149.0
Nashik,13946.83
Navi Mumbai,5354.07
Naya Katla-Rampura,50799.9
"Nayapalli, Bhubaneswar",199.0
Near Arya samaj mandir,65068.740000000005
Near Johor Motor,262.35
"Near prahaladnagar garden,",108.9
Nellore,243.59
New Delhi,6385564.34
New Timber Yard Layout,2805505.73
Noida,1311533.09
North 24 Parganas,162.36
North Guwahati,395.01
Orai,285.0
Ordnance Factory Bhadravati To,555.21
"P.N.Palayam,",648146.0
PANAJI,63515.59
PARAVUR,80780.37
PAREL VILLAGE PAREL,2476706.9299999997
PARK STREET,106.02
PARNASREE PALLY,232.0
PATTAMBI,6632.0
PAVANGAD,844161.46
PHASE-I DUNDAHERA,17999.78
PIRANGUT,20180.43
PITAMPURA,564.01
PORT BLAIR,215.01
POST OFFICE DAL LAKE TEHSIL DH,1557.0
PRABHADEVI,3397.77
PUNE,4802.2
PUNJAB,365.31
PURASWALKAM,121732.04
Padadhari,543.51
Palakol,235.0
Palampur,199.0
Palghar,252.44
Pali,1483.01
Palwal,378.1
Panaji,8110.99
Pandhurna,205259.13999999998
Panihati,1890.48
Panipat,398.0
Paraganas,256257.24
Parwanoo,369.0
Pathankot,175.01
Patiala,142799.22999999998
Patna,4780.15
"Pazayangadi Road, Kondotty",42533.58
Penha De Franca,289.01
Perinjanam,354.42
Perumbaikad,470.0
Phagwara,39312.0
Pimpri Chinchwad,1390.29
Porbandar,199.0
Porvorim,305.0
"Powai, Mumbai",895.0
Prayagraj,290.0
Puducherry,189.0
Pune,4890661.95
Pune City,22114.47
Puthiyara Post,56611.52
Puttur,1483.01
RAIPUR,61498.08
RAJAHMUNDRY,385.11
RAJASTHAN,625.5
RAJKOT,644601.89
RAJODA,1215366.52
RAMHLUN SOUTH,834.11
RANCHI,998.02
ROHTAK,270300.38
Rae Bareli,195.0
Raghunathpur Puruliya District,256.40999999999997
Raipur,565746.43
Rajapalayam Virudhunagar Distr,285.01
Rajgurunagar Khed,265.0
Rajkot,197307.76
Rajnandgaon,734.4000000000001
Rajpur Sonarpur,265.0
Raman,299.0
Rampur,398.0
Ranchi,857.5699999999999
Rangareddy,594746.16
Ranipet,189.05
Ranipettai,256.41
Ranjangaon Midc,235.0
Repalle,325.0
Rewari,389.0
Rishikesh,364232.29
Robertsonpet  Kgf,180.0
Rohini,369.0
Rohtak,360.0
Roorkee,240.57
Rourkela,849.0
"S R NAGAR, BANGALORE",564941.07
SABZI BAZAAR NEAR SBI ATM,773.0
SADAR BAZAR,4033.01
"SADH NAGAR, PALAM",13234.130000000001
SAGAR,30045.25
SAHARANPUR,47605.36
SAHIBABAD PARGANA LONI TEHSIL,25531.05
SAMPANGIRAMA NAGAR,1864234.81
SANTACRUZ WEST,3191.99
SATELITE AHMEDABAD,47999.61
"SEC-52 ,WAZIRABAD",2275.05
SECTOR 23A,108944.28
SECUNDERABAD,1107.0
SEEMADWAR,86734.91
SHAMLI,114842.12
SHANTHI NAGAR,592.04
SHILLONG,202.95
SHIVPURI,150180.0
SIKH VILLAGE,1639.01
SILIGURI,595091.0499999999
SIRSA,46754.39
SIVAKASI,524.0
SIWAN,269.0
SOHNA ROAD,1920915.0
SONARI JAMSHEDPUR,719.99
SOUTH 24 PARGANAS,76078.08
SOUTH CITY,2092467.3
SOUTH EAST DELHI,1156.02
SOUTH WEST DELHI,192.0
SRIGOPAL MULLICK LANE,197.01
SULKANPET CROSS,421147.46
SULOCHANA COMPLEX,705577.94
SURAT,407867.66
Sabla,245.0
Safidon,449.0
Saharanpur,134491.04
Sahibabad,235.03
Sakhapatnam,69879.59999999999
Salem,256.41
Salt Lake City,10738.91
Sambalpur,265.0
Santej,1038.0
Sara Industrial Estate,719.99
Secunderabad,22966.86
Serampore,2322.17
Shimla,147.0
Shorapur,256.41
Shrirampur,244.98000000000002
Siddipet,192.0
Sikandarabad Industrial Area,240.57
Siliguri,53861.89
Silvassa,157.41
Sindhi Colony,1196.25
Sindhudurg,1580.02
Singapore,450311.4
Sipcot Thoothukudi,359.99
Sirhind Fategarh Sahib,219084.4
Sivakasi,2301.6200000000003
Solan,245.0
Solapur,256.41
Sonepat,473115.52
Sonipat,133245.59
South Delhi,199.0
South Goa,226.71
Sri Ganganagar,2463.0
Srinagar,47236.1
"Sub Tehsil Kadipur,Khandsa,Gur",12563.880000000001
Sultanpur Road,101467.06
Surat,976833.59
TAL DASCROI,454979.82
"TALOK OFF COMPOUND, KR PURAM",796.0
TALUKA MAHABLESHWAR CITY SATAR,585.02
TAMIL NADU,1420.0
TELANGANA,4518.05
THANE,825.0
THANE WEST,155.01
THRISSUR,199.0
TILJALA,279.0
Tadepalligudem,189.01
Tanzania,674912.14
Tenali,108.9
Thane,1365678.04
Thiruvallur,256.41
Thiruvananthapuram,2355.33
Thiruvankulam,1728.01
Thoothukkudi,245.0
Thrikkakara,98884.61
Thrissur,77442.48
Tiruchirappalli,199.0
Tirukalikundram,735.0
Tirunelveli,199.0
Tirupati,494.0
Tiruppur,2158.41
Tirupur,1699.0
Tirur,240.57
